68000,2018-08-08 00:00:00Z,L11 6LU,Terraced,Established,Leasehold,14,,KYNANCE ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4604480000,-2.8905050000
70000,2018-07-23 00:00:00Z,L11 0AP,Flats/Maisonettes,Established,Freehold,125,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
73500,2018-05-22 00:00:00Z,L11 6LS,Terraced,Established,Freehold,42,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
75000,2018-02-23 00:00:00Z,L11 0AN,Semi-Detached,Established,Freehold,4,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614080000,-2.8943050000
68000,2018-11-14 00:00:00Z,L11 0AJ,Semi-Detached,Established,Leasehold,43,,MALPAS ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
73000,2018-11-23 00:00:00Z,L11 0AJ,Terraced,Established,Freehold,6,,MALPAS ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610210000,-2.8956530000
82000,2019-07-02 00:00:00Z,L11 6LS,Terraced,Established,Freehold,42,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4601050000,-2.8919430000
99000,2019-10-18 00:00:00Z,L11 6LF,Semi-Detached,Established,Leasehold,95,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4610750000,-2.8908340000
82000,2019-01-11 00:00:00Z,L11 0DF,Terraced,Established,Freehold,28,,NEWDOWN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4600550000,-2.8961290000
60000,2020-08-21 00:00:00Z,L11 6LT,Terraced,Established,Freehold,5,,WICKET CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4611310000,-2.8916790000
140000,2020-03-13 00:00:00Z,L11 0AN,Semi-Detached,Established,Freehold,7,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614080000,-2.8943050000
100000,2020-10-02 00:00:00Z,L11 0AD,Terraced,Established,Freehold,18,,NEWLYN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4603160000,-2.8960600000
92250,2020-10-08 00:00:00Z,L11 0AF,Terraced,Established,Freehold,91,,PETHERICK ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4616600000,-2.8967200000
85000,2021-01-18 00:00:00Z,L11 0AB,Terraced,Established,Freehold,3,,OTTERTON ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4612060000,-2.8985180000
92000,2021-08-05 00:00:00Z,L11 6LU,Other,Established,Freehold,1,,KYNANCE ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Additional,Addition,53.4604480000,-2.8905050000
70000,2021-06-21 00:00:00Z,L11 0AD,Terraced,Established,Freehold,17,,NEWLYN ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4603160000,-2.8960600000
110000,2021-05-21 00:00:00Z,L11 0AR,Terraced,Established,Freehold,9,,CALLESTOCK CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4619010000,-2.8969670000
90600,2021-08-17 00:00:00Z,L11 0AP,Terraced,Established,Freehold,139,,PARKVIEW ROAD,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4620770000,-2.8938220000
110000,2021-03-05 00:00:00Z,L11 0AN,Semi-Detached,Established,Freehold,19,,WILLOW WAY,CROXTETH,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614080000,-2.8943050000
120000,2021-08-13 00:00:00Z,L11 0AR,Semi-Detached,Established,Freehold,12,,CALLESTOCK CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4619010000,-2.8969670000
115000,2021-08-06 00:00:00Z,L11 0AR,Terraced,Established,Freehold,10,,CALLESTOCK CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4619010000,-2.8969670000
110000,2022-03-31 00:00:00Z,L11 0AS,Terraced,Established,Leasehold,8,,CREDITON CLOSE,,LIVERPOOL,LIVERPOOL,MERSEYSIDE,Standard,Addition,53.4614290000,-2.8987040000
