184000,2004-06-28 00:00:00Z,TN24 0RX,Terraced,New Build,Freehold,13,,WHITE WILLOW CLOSE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294510000,0.8804720000
127500,2004-03-26 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,135,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
136500,2004-06-14 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,55,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
180000,2004-06-30 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,47,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
260000,2004-12-24 00:00:00Z,TN24 0PZ,Terraced,New Build,Freehold,39,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
177995,2004-06-30 00:00:00Z,TN24 0GX,Terraced,New Build,Freehold,57,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
136350,2004-03-25 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,113,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
179950,2004-09-24 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,46,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
280000,2004-10-29 00:00:00Z,TN24 0PZ,Terraced,New Build,Freehold,24,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
215000,2004-06-16 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,53,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
134750,2004-03-26 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,71,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
134000,2004-08-26 00:00:00Z,TN24 0GX,Flats/Maisonettes,Established,Leasehold,19,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1294280000,0.8857450000
143500,2004-09-21 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,41,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
250000,2004-12-23 00:00:00Z,TN24 0SX,Terraced,New Build,Freehold,38,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
123500,2004-03-31 00:00:00Z,TN24 0GU,Flats/Maisonettes,New Build,Leasehold,133,,EARLSWORTH ROAD,WILLESBOROUGH,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1297960000,0.8817830000
138000,2004-05-28 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,57,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
184950,2004-09-24 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,60,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
132995,2004-02-10 00:00:00Z,TN24 0JB,Flats/Maisonettes,New Build,Leasehold,16,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
225950,2004-08-27 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,56,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
230000,2004-06-21 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,55,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
185000,2004-02-26 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,34,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
145000,2004-11-18 00:00:00Z,TN24 0SX,Flats/Maisonettes,New Build,Leasehold,48,,EAST STOUR WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1287580000,0.8841160000
224950,2004-09-24 00:00:00Z,TN24 0JB,Terraced,New Build,Freehold,48,,KINGS PROSPECT,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1293660000,0.8860840000
233950,2004-11-26 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,20,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
205000,2004-05-14 00:00:00Z,TN24 0RP,Terraced,New Build,Freehold,46,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291820000,0.8851720000
143750,2004-09-30 00:00:00Z,TN24 0PZ,Flats/Maisonettes,New Build,Leasehold,59,,RIVERBANK WAY,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291550000,0.8815110000
183000,2004-06-21 00:00:00Z,TN24 0QZ,Terraced,New Build,Freehold,49,,FAIRVIEW DRIVE,ASHFORD,ASHFORD,ASHFORD,KENT,Standard,Addition,51.1291650000,0.8836700000
