32000,1995-10-31 00:00:00Z,MK43 9AH,Semi-Detached,Established,Leasehold,THE ELMS,FLAT 3,WOBURN ROAD,KEMPSTON HARDWICK,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,Standard,Addition,52.0966570000,-0.5107220000
244950,2017-12-21 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,1,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
213950,2017-12-21 00:00:00Z,MK43 9PU,Semi-Detached,New Build,Freehold,5,,WAITE MEADOWS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0944310000,-0.5174530000
390000,2017-03-06 00:00:00Z,MK43 9BY,Detached,Established,Freehold,47,,FOLKES ROAD,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0953420000,-0.5190730000
207950,2017-01-04 00:00:00Z,MK43 9BQ,Semi-Detached,New Build,Freehold,1,,PILSBURY CLOSE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0962900000,-0.5179460000
414950,2017-05-31 00:00:00Z,MK43 9GY,Detached,New Build,Freehold,11,,ORCHART GARDENS,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0960760000,-0.5166980000
352950,2017-03-31 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,26,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
309950,2017-06-16 00:00:00Z,MK43 9AQ,Detached,New Build,Freehold,21,,GOFF PLACE,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0955560000,-0.5175330000
56952,2017-11-29 00:00:00Z,MK43 9AU,Other,New Build,Freehold,18,,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0941890000,-0.5182200000
220378,2017-11-29 00:00:00Z,MK43 9AU,Other,New Build,Freehold,JUBILEE GARDENS,PLOTS 495-504,HARRIS WAY,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Additional,Addition,52.0941890000,-0.5182200000
362950,2017-12-04 00:00:00Z,MK43 9PT,Detached,New Build,Freehold,7,,STEVENSON WALK,WOOTTON,BEDFORD,BEDFORD,BEDFORD,Standard,Addition,52.0951080000,-0.5162190000
