800000,1995-03-31 00:00:00Z,SG4 7BN,Detached,Established,Freehold,GRAVELEY HILL COTTAGE,,CHURCH LANE,GRAVELEY,HITCHIN,NORTH HERTFORDSHIRE,HERTFORDSHIRE,Standard,Addition,51.9360830000,-0.1874000000
145995,2001-12-03 00:00:00Z,SG1 6DN,Semi-Detached,New Build,Freehold,2,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
227000,2001-07-31 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,5,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
247500,2001-02-23 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,26,,RICCAT LANE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
154495,2001-12-20 00:00:00Z,SG1 6DF,Terraced,New Build,Freehold,3,,SWALE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9310470000,-0.1814740000
154995,2001-12-20 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,6,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
135000,2001-11-19 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,18,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
116000,2001-06-29 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,16,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
199950,2001-10-26 00:00:00Z,SG1 3YJ,Detached,Established,Freehold,6,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
169950,2001-12-19 00:00:00Z,SG1 6DN,Detached,New Build,Freehold,30,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
143950,2001-03-30 00:00:00Z,SG1 3XS,Detached,Established,Freehold,6,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
191950,2001-03-23 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,9,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
247950,2001-06-29 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,3,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
217500,2001-10-31 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,8,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
149950,2001-10-26 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,5,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
189950,2001-02-23 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,9,,RICCAT LANE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
205000,2001-01-22 00:00:00Z,SG1 3XY,Detached,New Build,Freehold,24,,RICCAT LANE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9314350000,-0.1833830000
249950,2001-09-21 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,10,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
245000,2001-04-10 00:00:00Z,SG1 3XZ,Detached,New Build,Freehold,1,,AVON DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9319370000,-0.1832470000
155000,2001-12-14 00:00:00Z,SG1 6DN,Semi-Detached,New Build,Freehold,20,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
172950,2001-11-09 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,9,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
215950,2001-12-20 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,20,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
118950,2001-12-07 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,12,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
249950,2001-06-18 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,5,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
120000,2001-02-23 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,1,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
97000,2001-04-30 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,13,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
116950,2001-11-27 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,14,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
173950,2001-02-16 00:00:00Z,SG1 3XZ,Detached,New Build,Freehold,5,,AVON DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9319370000,-0.1832470000
265000,2001-10-25 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,6,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
145950,2001-04-20 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,1,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
97000,2001-03-30 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,12,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
167950,2001-07-06 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,4,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
180000,2001-12-19 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,22,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
144000,2001-12-14 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,24,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
95000,2001-02-23 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,9,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
225000,2001-12-17 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,14,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
190950,2001-01-26 00:00:00Z,SG1 3XZ,Detached,New Build,Freehold,3,,AVON DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9319370000,-0.1832470000
115500,2001-06-11 00:00:00Z,SG1 3XU,Semi-Detached,Established,Freehold,9,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
96500,2001-03-30 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,7,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
212000,2001-03-30 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,10,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
199950,2001-10-25 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,4,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
214995,2001-12-20 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,16,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
146950,2001-10-17 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,7,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
210500,2001-07-31 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,3,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
166000,2001-02-23 00:00:00Z,SG1 3XX,Detached,Established,Freehold,4,,WENSUM ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306360000,-0.1834100000
116950,2001-08-31 00:00:00Z,SG1 6DJ,Terraced,New Build,Freehold,5,,BRAY DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9311450000,-0.1808740000
197950,2001-09-28 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,3,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
124500,2001-09-12 00:00:00Z,SG1 3XU,Semi-Detached,Established,Freehold,6,,KENNETT WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9303140000,-0.1834960000
120450,2001-01-26 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,10,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
138950,2001-06-29 00:00:00Z,SG1 3XT,Semi-Detached,New Build,Freehold,19,,ORWELL AVENUE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9308720000,-0.1841430000
96000,2001-02-23 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,14,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
211000,2001-11-30 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,13,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
144995,2001-12-21 00:00:00Z,SG1 6DN,Terraced,New Build,Freehold,28,,CALDER WAY,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9305550000,-0.1822650000
120000,2001-02-16 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,11,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
244000,2001-02-23 00:00:00Z,SG1 3XZ,Detached,New Build,Freehold,2,,AVON DRIVE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9319370000,-0.1832470000
155000,2001-09-28 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,8,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
246000,2001-05-01 00:00:00Z,SG1 3XS,Detached,New Build,Freehold,7,,HUMBER COURT,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9321690000,-0.1843090000
119500,2001-02-23 00:00:00Z,SG1 3YN,Semi-Detached,New Build,Freehold,6,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
174995,2001-09-28 00:00:00Z,SG1 3XW,Detached,New Build,Freehold,12,,KENMARE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9315820000,-0.1847160000
199950,2001-11-16 00:00:00Z,SG1 3YJ,Detached,New Build,Freehold,10,,DOVE ROAD,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9306280000,-0.1852140000
96500,2001-05-25 00:00:00Z,SG1 3YN,Terraced,New Build,Freehold,15,,RYE CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,Standard,Addition,51.9301730000,-0.1855290000
