305000,2018-06-22 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,67,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
312000,2018-06-15 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,224,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
284995,2018-06-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,166,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
315000,2018-06-28 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,16,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
308000,2018-06-28 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,20,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
495000,2018-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,44,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
306000,2018-06-29 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,30,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
492000,2018-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,40,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
312000,2018-06-29 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,26,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
510000,2018-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,38,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
318000,2018-06-28 00:00:00Z,RG40 1LB,Flats/Maisonettes,New Build,Leasehold,22,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
492000,2018-06-29 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,42,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
310000,2018-06-28 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,222,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
460000,2018-04-12 00:00:00Z,RG40 1GS,Terraced,Established,Freehold,78,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
479000,2018-02-14 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,4,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
349995,2018-02-23 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Freehold,164,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
483000,2018-03-23 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,10,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
485000,2018-03-16 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,6,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
487000,2018-03-23 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,8,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
134900,2018-10-16 00:00:00Z,RG40 1LA,Other,Established,Freehold,3,,BREMNER WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Additional,Addition,51.4072650000,-0.8079760000
246995,2018-03-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,180,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
287995,2018-03-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,200,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
247995,2018-03-29 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,168,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
444995,2018-04-09 00:00:00Z,RG40 1GS,Detached,New Build,Freehold,202,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
286995,2018-04-13 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,194,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
297995,2018-02-26 00:00:00Z,RG40 1GS,Flats/Maisonettes,New Build,Leasehold,184,,WILLIAM HEELAS WAY,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4083020000,-0.8090990000
459000,2018-04-26 00:00:00Z,RG40 1LB,Semi-Detached,New Build,Freehold,14,,IFOULD CRESCENT,,WOKINGHAM,WOKINGHAM,WOKINGHAM,Standard,Addition,51.4068910000,-0.8082870000
