950000,2013-12-09 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A4-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
890000,2013-12-12 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C6-5,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1600000,2013-11-29 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C7-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
500000,2013-12-06 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A3-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
708100,2013-12-02 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B5-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1060000,2013-12-09 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A3-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
1250000,2013-12-11 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A5-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
770000,2013-12-09 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-7,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
430000,2013-12-04 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B2-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
410000,2013-12-02 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1063300,2013-11-29 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A4-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
460000,2013-12-19 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C1-8,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1100000,2013-12-04 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C2-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1073100,2013-12-02 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B6-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
450000,2013-12-09 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-8,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
500000,2013-12-06 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C3-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
695000,2013-12-06 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B3-6,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
451000,2013-12-05 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C2-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
883000,2013-12-06 00:00:00Z,N1C 4AS,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT A5-4,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
570000,2014-02-27 00:00:00Z,N1C 4AW,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT C3-8,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
420000,2014-01-06 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B1-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1200000,2014-07-22 00:00:00Z,N1C 4AW,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT C1-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1750000,2014-04-10 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B7-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
999950,2014-04-09 00:00:00Z,N1C 4AS,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT A4-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5360130000,-0.1226870000
2575000,2014-01-10 00:00:00Z,N1C 4AW,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT C7-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
580000,2014-03-14 00:00:00Z,N1C 4AT,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT B2-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1325000,2014-11-28 00:00:00Z,N1C 4AT,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT B4-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1430000,2014-11-27 00:00:00Z,N1C 4AT,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT B6-1,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
1950000,2014-09-26 00:00:00Z,N1C 4AT,Flats/Maisonettes,New Build,Leasehold,"ARTHOUSE, 1",APARTMENT B7-2,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
180000,2015-11-27 00:00:00Z,N1C 4AF,Flats/Maisonettes,Established,Leasehold,"RUBICON COURT, 3",FLAT 85,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5384560000,-0.1234830000
1555000,2015-03-13 00:00:00Z,N1C 4AS,Flats/Maisonettes,Established,Leasehold,"ARTHOUSE, 1",APARTMENT A5-3,YORK WAY,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5360130000,-0.1226870000
835000,2015-10-26 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S2-02,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
825000,2015-11-23 00:00:00Z,N1C 4BR,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT F11-06,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Additional,Addition,51.5374360000,-0.1273720000
1300000,2015-11-02 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S5-02,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
1070000,2015-11-17 00:00:00Z,N1C 4BP,Flats/Maisonettes,New Build,Leasehold,"PLIMSOLL BUILDING, 1",APARTMENT S7-01,HANDYSIDE STREET,,LONDON,CAMDEN,GREATER LONDON,Standard,Addition,51.5374360000,-0.1273720000
