379995,2020-09-25 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,3,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
326995,2020-03-23 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,23,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
284495,2020-03-20 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,9,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
289995,2020-03-23 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,13,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
289995,2020-08-28 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,32,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
353696,2020-08-28 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,34,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
289995,2020-11-16 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,16,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
399995,2020-11-27 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,26,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
394995,2020-11-06 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,7,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
379995,2020-02-13 00:00:00Z,TS22 5FQ,Detached,New Build,Freehold,6,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
349995,2020-09-30 00:00:00Z,TS22 5FL,Detached,Established,Freehold,2,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
300000,2020-10-09 00:00:00Z,TS22 5FN,Detached,Established,Freehold,11,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
330000,2020-03-30 00:00:00Z,TS22 5FN,Detached,Established,Freehold,11,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Additional,Addition,54.6400350000,-1.3264920000
324995,2020-02-14 00:00:00Z,TS22 5FL,Detached,New Build,Freehold,1,,MULBERRY WAY,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6412410000,-1.3251390000
314995,2020-04-09 00:00:00Z,TS22 5FN,Detached,New Build,Freehold,5,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
297500,2021-04-30 00:00:00Z,TS22 5FN,Detached,Established,Freehold,47,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
238000,2021-09-29 00:00:00Z,TS22 5FQ,Semi-Detached,Established,Freehold,27,,LYNNWOOD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6404740000,-1.3278630000
418500,2021-11-11 00:00:00Z,TS22 5FN,Detached,Established,Freehold,25,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
295000,2021-01-29 00:00:00Z,TS22 5FN,Detached,Established,Freehold,43,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
385000,2022-01-21 00:00:00Z,TS22 5FN,Detached,Established,Freehold,3,,BLOOMFIELD DRIVE,WYNYARD,BILLINGHAM,STOCKTON-ON-TEES,STOCKTON-ON-TEES,Standard,Addition,54.6400350000,-1.3264920000
